Epoch;train_loss;val_loss
0.07674597083653108;0.3409;
0.15349194167306215;0.1362;
0.23023791250959325;0.117;
0.3069838833461243;0.1091;
0.3837298541826554;0.1003;
0.4604758250191865;0.0969;
0.5372217958557176;0.0983;
0.6139677666922486;0.0893;
0.6907137375287797;0.0904;
0.7674597083653109;0.0831;
0.8442056792018419;0.0876;
0.920951650038373;0.077;
0.9976976208749041;0.0799;0.07870307564735413
1.0744435917114352;0.0573;
1.1511895625479662;0.0593;
1.2279355333844972;0.0548;
1.3046815042210285;0.0579;
1.3814274750575595;0.0542;
1.4581734458940905;0.0517;
1.5349194167306215;0.0565;
1.6116653875671527;0.0581;
1.688411358403684;0.0564;
1.765157329240215;0.0494;
1.841903300076746;0.0513;
1.918649270913277;0.049;
1.995395241749808;0.0494;0.07424306869506836
2.0721412125863394;0.036;
2.1488871834228704;0.036;
2.2256331542594014;0.0326;
2.3023791250959325;0.0298;
2.3791250959324635;0.0344;
2.4558710667689945;0.0337;
2.532617037605526;0.0325;
2.609363008442057;0.0327;
2.686108979278588;0.0306;
2.762854950115119;0.0329;
2.83960092095165;0.0312;
2.916346891788181;0.0302;
2.993092862624712;0.0314;0.07463747262954712
